第一章危害国家安全罪,,,,,,,,,,,,,,,
168,[组织、领导]传销活动,刑法第224条之一,集资诈骗,非法经营,,,,,,,,,,,
169,非法经营,刑法第225条,非法经营同类营业罪,,,,,,,,,,,,
170,强迫交易,刑法第226条,抢劫罪,,,,,,,,,,,,
171,[伪造、倒卖]伪造的有价票证,刑法第227条第1款,,,,,,,,,,,,,
172,倒卖[车票、船票],刑法第227条第2款,,,,,,,,,,,,,
173,非法[转让、倒卖]土地使用权,刑法第228条,,,,,,,,,,,,,
174,提供虚假证明文件罪,刑法第229条第1款、第2款,,,,,,,,,,,,,
175,出具证明文件重大失实罪,刑法第229条第3款,,,,,,,,,,,,,
176,逃避商检罪,刑法第230条,,,,,,,,,,,,,
第四章侵犯公民人身权利、民主权利罪,,,,,,,,,,,,,,,
177,故意杀人,刑法第232条,以危险方法危害公共安全,,,,,,,,,,,,
178,过失致人死亡,刑法第233条,,,,,,,,,,,,,
179,故意伤害,刑法第234条,故意杀人罪,过失致人死亡罪,,,,,,,,,,,
180,组织出卖人体器官罪,刑法第234条之一第1款,盗窃、侮辱、故意毁坏尸体、尸骨、骨灰罪,,,,,,,,,,,,
181,过失致人重伤,刑法第235条,,,,,,,,,,,,,
182,强奸罪,刑法第236条,强制猥亵、侮辱罪,,,,,,,,,,,,
183,负有照护职责人员性侵罪,刑法第236条之一,,,,,,,,,,,,,
184,强制[猥亵、侮辱]妇女,刑法第237条第1款,强奸罪,,,,,,,,,,,,
185,猥亵儿童,刑法第237条第3款,强制猥亵、侮辱罪,,,,,,,,,,,,
186,非法拘禁,刑法第238条,绑架罪,,,,,,,,,,,,
187,绑架,刑法第239条,非法拘禁罪,抢劫罪,诈骗罪,敲诈勒索罪,,,,,,,,,
188,拐卖[妇女、儿童],刑法第240条,绑架罪,收买被拐卖的[妇女、儿童],,,,,,,,,,,
189,收买被拐卖的[妇女、儿童],刑法第241条第1款,拐卖[妇女、儿童],,,,,,,,,,,,
190,聚众阻碍解救被收买的妇女、儿童罪,刑法第242条第2款,,,,,,,,,,,,,
191,诬告陷害,刑法第243条,,,,,,,,,,,,,
192,强迫劳动,刑法第244条,,,,,,,,,,,,,
193,雇用童工从事危重劳动罪,刑法第244条之一,,,,,,,,,,,,,
194,非法搜查罪,刑法第245条,,,,,,,,,,,,,
195,非法侵入住宅,刑法第245条,,,,,,,,,,,,,
196,侮辱,刑法第246条,强制猥亵、侮辱罪,,,,,,,,,,,,
197,诽谤,刑法第246条,侮辱罪,诬告陷害罪,,,,,,,,,,,
198,刑讯逼供罪,刑法第247条,,,,,,,,,,,,,
199,暴力取证罪,刑法第247条,非法拘禁罪,,,,,,,,,,,,
200,虐待被监管人,刑法第248条,,,,,,,,,,,,,
201,煽动民族仇恨、民族歧视罪,刑法第249条,,,,,,,,,,,,,
202,出版歧视、侮辱少数民族作品罪,刑法第250条,,,,,,,,,,,,,
203,非法剥夺公民宗教信仰自由罪,刑法第251条,,,,,,,,,,,,,
204,侵犯少数民族风俗习惯罪,刑法第251条,,,,,,,,,,,,,
205,侵犯通信自由罪,刑法第252条,,,,,,,,,,,,,
206,私自开拆、隐匿、毁弃邮件、电报罪,刑法第253条第1款,,,,,,,,,,,,,
207,侵犯公民个人信息,刑法第253条之一,非法利用信息网络罪,,,,,,,,,,,,
208,报复陷害罪,刑法第254条,诬告陷害罪,,,,,,,,,,,,
209,打击报复会计、统计人员罪,刑法第255条,,,,,,,,,,,,,
210,破坏选举罪,刑法第256条,,,,,,,,,,,,,
211,暴力干涉婚姻自由罪,刑法第257条,非法拘禁罪,,,,,,,,,,,,
212,重婚,刑法第258条,,,,,,,,,,,,,
213,破坏军婚罪,刑法第259条第1款,,,,,,,,,,,,,
214,虐待,刑法第260条,虐待被监护、看护人罪,故意伤害罪,故意杀人罪,,,,,,,,,,
215,虐待被监护人,刑法第260条之一,虐待罪,,,,,,,,,,,,
216,遗弃,刑法第261条,故意杀人罪,虐待罪,,,,,,,,,,,
217,拐骗儿童,刑法第262条,拐卖妇女、儿童罪,绑架罪,,,,,,,,,,,
218,组织残疾人、儿童乞讨罪,刑法第262条之一,,,,,,,,,,,,,
219,组织未成年人进行违反治安管理活动罪,刑法第262条之二,,,,,,,,,,,,,
第五章侵犯财产罪,,,,,,,,,,,,,,,
220,抢劫,刑法第263条,抢夺罪,盗窃罪,,,,,,,,,,,
221,盗窃,刑法第264条,[盗窃、抢夺][枪支、弹药、爆炸物、危险物质],,,,,,,,,,,,
222,诈骗,刑法第266条,集资诈骗,贷款诈骗,票据诈骗,金融凭证诈骗,信用证诈骗罪,信用卡诈骗,有价证券诈骗罪,保险诈骗罪,虚假诉讼罪,盗窃罪,,,
223,抢夺,刑法第267条第1款,抢劫罪,,,,,,,,,,,,
224,聚众哄抢,刑法第268条,,,,,,,,,,,,,
225,侵占,刑法第270条,盗窃罪,,,,,,,,,,,,
226,职务侵占,刑法第271条第1款,侵占罪,贪污罪,盗窃罪,诈骗罪,,,,,,,,,
227,挪用资金,刑法第272条第1款,挪用公款罪,挪用特定款物罪,职务侵占罪,,,,,,,,,,
228,挪用特定款物,刑法第273条,,,,,,,,,,,,,
229,敲诈勒索,刑法第274条,诈骗罪,招摇撞骗罪,抢劫罪,绑架罪,,,,,,,,,
230,故意毁坏财物,刑法第275条,危害公共安全,,,,,,,,,,,,
